rank,cityId,displayName,country,region,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,rankingStatus
94,cn-guangzhou,"Guangzhou","China","East Asia",40,38.1,98.6,71.9,19.7,37.1,A,Ranked
95,br-sao-paulo,"Sao Paulo","Brazil","Latin America",39.9,42.7,45.1,69.5,36.3,27.6,A,Ranked
96,cn-hangzhou,"Hangzhou","China","East Asia",39,33.5,84,71.9,20.6,37.1,A,Ranked
97,cn-shenzhen,"Shenzhen","China","East Asia",38.7,35.3,98.6,71.9,19.7,37.1,A,Ranked
98,cn-nanjing,"Nanjing","China","East Asia",38.4,52.6,75.3,59,7.1,34.5,A,Ranked
99,do-santo-domingo,"Santo Domingo","Dominican Republic","North America",38.2,36.9,,53.7,46.6,28.2,Watchlist,Watchlist
100,lt-vilnius,"Vilnius","Lithuania","Southern/Eastern Europe and Eurasia",36.9,65,,41.6,74,41.4,C,Ranked
101,cn-shanghai,"Shanghai","China","East Asia",36.7,31.3,98.6,71.9,19.7,37.1,A,Ranked
102,pe-arequipa,"Arequipa","Peru","Latin America",36.3,57.5,34.1,42.3,34.9,24.7,A,Ranked
103,pe-lima,"Lima","Peru","Latin America",35.8,51.3,34.1,42.3,34.9,24.7,A,Ranked
104,ru-nizhny-novgorod,"Nizhny Novgorod","Russia","Southern/Eastern Europe and Eurasia",35.7,70.7,62.4,59.2,15.9,15.5,A,Ranked
105,bw-gaborone,"Gaborone","Botswana","Africa",35.7,51.4,31.9,22.2,45.2,39,A,Ranked
106,fj-suva,"Suva","Fiji","Oceania",35.7,45.8,36.1,47.7,30.8,25.1,A,Ranked
107,co-medellin,"Medellin","Colombia","Latin America",35,54.4,28,66.3,41.9,19.6,A,Ranked
108,co-bogota,"Bogota","Colombia","Latin America",34.1,48.7,28,66.3,41.9,19.6,A,Ranked
109,ph-cebu-city,"Cebu City","Philippines","Southeast Asia",33.2,55.8,38.2,40.4,30.8,17.5,A,Ranked
110,ph-makati,"Makati","Philippines","Southeast Asia",33,52.1,38.2,40.4,30.8,17.5,A,Ranked
111,na-windhoek,"Windhoek","Namibia","Africa",32.9,42.7,30.5,32.1,39.3,25.4,A,Ranked
112,id-surabaya,"Surabaya","Indonesia","Southeast Asia",32.7,63.7,40.8,35.1,29.9,17.8,A,Ranked
113,id-jakarta,"Jakarta","Indonesia","Southeast Asia",32.7,58.6,40.8,35.1,29.9,17.8,A,Ranked
114,ma-rabat,"Rabat","Morocco","Africa",32.4,46.9,59.9,34.1,24.2,18.8,A,Ranked
115,lv-riga,"Riga","Latvia","Southern/Eastern Europe and Eurasia",32.4,60.6,,33.5,76.2,40.3,C,Ranked
116,ma-casablanca,"Casablanca","Morocco","Africa",32.3,46,59.9,34.1,24.2,18.8,A,Ranked
117,se-gothenburg,"Gothenburg","Sweden","Western, Northern, and Southern Europe",31.5,65.3,,14.5,95.5,63.3,C,Ranked
118,in-hyderabad,"Hyderabad","India","South Asia",31.3,44.7,53.1,30.4,33.5,14.6,A,Ranked
119,in-pune,"Pune","India","South Asia",31.2,44.4,53.1,30.4,33.5,14.6,A,Ranked
120,ec-cuenca,"Cuenca","Ecuador","Latin America",31.1,42.6,,78.8,61,8,Watchlist,Watchlist
121,in-bengaluru,"Bengaluru","India","South Asia",31.1,43.9,53.1,30.4,33.5,14.6,A,Ranked
122,in-chandigarh,"Chandigarh","India","South Asia",30.6,43.9,44.1,30.4,34.1,14.6,A,Ranked
123,rw-kigali,"Kigali","Rwanda","Africa",30.5,56,47.2,15.8,30.5,24.8,A,Ranked
124,ru-moscow,"Moscow","Russia","Southern/Eastern Europe and Eurasia",30.5,41,62.4,59.2,15.9,15.5,A,Ranked
125,lk-kandy,"Kandy","Sri Lanka","South Asia",29,51.5,40.7,33.7,28.6,11.7,A,Ranked
126,jo-aqaba,"Aqaba","Jordan","Middle East",28.9,43.2,66,46.5,11.5,17,A,Ranked
127,lk-colombo,"Colombo","Sri Lanka","South Asia",28.9,48.8,40.7,33.7,28.6,11.7,A,Ranked
128,bt-thimphu,"Thimphu","Bhutan","South Asia",28.6,47.2,47,25.2,40.4,10.2,A,Ranked
129,vn-da-nang,"Da Nang","Vietnam","Southeast Asia",28.2,51.7,,44.3,28.1,20.8,B,Ranked
130,jo-amman,"Amman","Jordan","Middle East",28.1,40.3,66,46.5,11.5,17,A,Ranked
131,ge-tbilisi,"Tbilisi","Georgia","Southern/Eastern Europe and Eurasia",26.7,50,,33.1,40.9,43.1,C,Ranked
132,es-valencia,"Valencia","Spain","Western, Northern, and Southern Europe",26.6,59.8,,31.1,87.1,30.4,C,Ranked
133,za-johannesburg,"Johannesburg","South Africa","Africa",26.3,34.3,15.1,26.3,42.3,29.8,A,Ranked
134,za-cape-town,"Cape Town","South Africa","Africa",26.2,34.2,15.1,26.3,42.3,29.8,A,Ranked
135,hr-zagreb,"Zagreb","Croatia","Southern/Eastern Europe and Eurasia",25.7,61.9,,17.8,77.4,42.3,C,Ranked
