rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus,populationM,countryPopM,nationalSharePct,industries,birthRate,workingHrsPerWk,waterAccessPct,broadbandPer100,climateScore,gdpGrowthPct,peer1,peer2,peer3
52,jp-kobe,Kobe,Japan,East Asia,secondary,55.4,58,94.5,67.4,46.6,37.3,A,0.91,Ranked,1.5,125,1.2,shipping; manufacturing; tourism,1.20,36.6,98.7,38.6,,0.10,Hiroshima,Sapporo,Fukuoka
53,bh-manama,Manama,Bahrain,Middle East,secondary,55.3,66.4,79.7,57.8,39.7,42.5,A,0.83,Ranked,0.7,1.5,46.7,finance; tourism; trade,1.80,,98.9,17.2,34.0,2.60,Kota Kinabalu,Melaka,Bucharest
54,au-sydney,Sydney,Australia,Oceania,primary,54.5,27.8,89.5,87.1,56.3,63.9,A,0.87,Ranked,5.3,26,20.4,finance; tourism; services,1.58,37.3,,36.6,72.0,1.37,Melbourne,Auckland,Brisbane
55,nz-auckland,Auckland,New Zealand,Oceania,primary,54.4,32.4,92.6,85.7,57.2,52.9,A,0.87,Ranked,1.7,5.1,33.3,finance; services; tourism,1.56,37.5,100.0,37.9,58.0,1.29,Wellington,Brisbane,Hobart
56,pl-gdansk,Gdansk,Poland,Southern/Eastern Europe and Eurasia,secondary,54.3,60.9,79.5,65.1,52,31.9,A,0.91,Ranked,0.77,37.7,2.0,shipping; manufacturing; tourism,1.29,38.6,88.7,26.1,44.0,3.03,Katowice,Krakow,Torun
57,it-bologna,Bologna,Italy,"Western, Northern, and Southern Europe",secondary,54,56.4,88.2,66.9,58.4,29.4,A,0.91,Ranked,1.1,59,1.9,manufacturing; education; services,1.24,36.0,96.8,31.8,56.0,0.69,Krakow,Gdansk,Venice
58,nl-amsterdam,Amsterdam,Netherlands,"Western, Northern, and Southern Europe",primary,53.9,37.6,97.6,71.8,65.7,42.8,A,0.91,Ranked,1.1,17.9,6.1,finance; tourism; trade,1.49,30.2,100.0,43.3,46.0,1.08,Tokyo,Zurich,Paris
59,sk-bratislava,Bratislava,Slovakia,Southern/Eastern Europe and Eurasia,secondary,53.9,57.3,89.7,49.7,63.2,35.3,A,0.91,Ranked,0.48,5.4,8.9,finance; manufacturing; government,,37.9,99.6,33.2,52.0,1.94,Budapest,Bologna,Venice
60,au-hobart,Hobart,Australia,Oceania,secondary,52.5,33.8,89.5,87.1,56.3,45.1,A,0.87,Ranked,0.24,26,0.9,tourism; education; services,1.58,37.3,,36.6,52.0,1.37,Wellington,Auckland,Adelaide
61,pl-krakow,Krakow,Poland,Southern/Eastern Europe and Eurasia,primary,52.3,53.5,79.5,65.1,52,31.9,A,0.91,Ranked,0.97,37.7,2.6,tourism; manufacturing; education,1.29,38.6,88.7,26.1,48.0,3.03,Gdansk,Bologna,Katowice
62,mu-port-louis,Port Louis,Mauritius,Africa,secondary,51.2,56,76.2,47,39.6,45.4,A,0.87,Ranked,0.15,1.3,11.5,finance; trade; tourism,,38.3,,26.9,,4.93,Bucharest,Male,George Town
63,my-melaka,Melaka,Malaysia,Southeast Asia,secondary,49.5,63,75.3,52.4,40.3,31.5,A,0.95,Ranked,0.47,33,1.4,tourism; manufacturing; trade,1.60,44.7,90.0,13.0,56.0,5.11,Kuching,Kota Kinabalu,George Town
64,ro-bucharest,Bucharest,Romania,Southern/Eastern Europe and Eurasia,primary,49.5,57.5,81.4,50.6,40.7,34.8,A,0.91,Ranked,2.2,19.2,11.5,tech; finance; manufacturing,,38.7,82.2,34.7,54.0,0.92,Kota Kinabalu,George Town,Melaka
65,my-kuching,Kuching,Malaysia,Southeast Asia,secondary,49.3,61.5,73.7,52.4,41.1,31.5,A,0.91,Ranked,0.75,33,2.3,government; services; tourism,1.60,44.7,94.7,13.0,,5.11,Melaka,George Town,Kota Kinabalu
66,my-kota-kinabalu,Kota Kinabalu,Malaysia,Southeast Asia,secondary,49.3,61.5,77.9,52.4,40,31.5,A,0.95,Ranked,0.56,33,1.7,tourism; agriculture; trade,1.60,44.7,90.0,13.0,60.0,5.11,Melaka,Kuching,George Town
67,uy-montevideo,Montevideo,Uruguay,Latin America,secondary,49.1,52.4,59.5,74.6,64.6,24.4,A,0.87,Ranked,1.4,3.5,40.0,government; finance; agriculture,,36.8,,32.4,58.0,3.11,Hat Yai,San Juan,Phuket
68,sa-khobar,Khobar,Saudi Arabia,Middle East,secondary,48.9,91.3,96.3,78.9,17.2,24.1,A,0.79,Ranked,1.2,36,3.3,energy; manufacturing; trade,2.37,,,43.6,26.0,2.00,Jeddah,Riyadh,Kuwait City
69,sa-jeddah,Jeddah,Saudi Arabia,Middle East,secondary,48.8,90.6,96.3,78.9,17.2,24.1,A,0.79,Ranked,4.7,36,13.1,trade; tourism; finance,2.37,,,43.6,28.0,2.00,Riyadh,Khobar,Kuwait City
70,sa-riyadh,Riyadh,Saudi Arabia,Middle East,primary,48.7,89.9,96.3,78.9,17.2,24.1,A,0.79,Ranked,7.7,36,21.4,government; finance; energy,2.37,,,43.6,30.0,2.00,Jeddah,Khobar,Kuwait City
71,fr-paris,Paris,France,"Western, Northern, and Southern Europe",primary,48.6,27.7,97.9,63.9,69.2,45.1,A,0.91,Ranked,11.2,68,16.5,tourism; finance; services,1.68,35.5,99.7,48.7,50.0,1.19,Amsterdam,Zurich,Vancouver
72,my-george-town,George Town,Malaysia,Southeast Asia,secondary,48.6,58,73.7,52.4,41.1,31.5,A,0.91,Ranked,1.6,33,4.8,tech; manufacturing; tourism,1.60,44.7,94.7,13.0,,5.11,Kuching,Melaka,Kota Kinabalu
73,pr-san-juan,San Juan,Puerto Rico,North America,secondary,48.2,43.8,59.2,68.3,63.3,45.8,B,0.68,Ranked,2.3,3.2,71.9,tourism; manufacturing; government,,35.8,98.9,23.2,,3.18,Valparaiso,Santiago,Montevideo
